T,x0mm,x325mm_1,x325mm_2,x62mm_1,x62mm_2
621.231,,,,-0.050062,
622.433,,,-0.067011,,
622.643,-0.084074,,,,
627.856,,-0.074158,,,
628.155,,,,,-0.047585
630.073,,,-0.065564,,
630.302,,,,-0.049287,
632.052,-0.083254,,,,
634.981,,-0.073878,,,
636.718,,,-0.064962,,
638.206,,,,,-0.046563
639.108,,,,-0.047838,
641.263,,-0.07226,,,
641.468,-0.081631,,,,
643.458,,,-0.063853,,
645.623,,,,,-0.045412
646.972,,-0.070911,,,
647.015,,,,-0.046643,
648.493,,,-0.062748,,
648.597,-0.080815,,,,
650.393,,-0.070637,,,
651.76,,,,,-0.044062
652.36,,,-0.061813,,
652.74,,-0.062735,,,
652.765,,,,-0.045958,
653.452,-0.079467,,,,
653.833,,-0.068222,,,
655.054,,-0.058715,,,
656.383,,-0.053224,,,
656.428,,-0.047869,,,
656.465,-0.076918,,,,
656.499,,,,-0.039569,
656.694,-0.066744,,,,
656.783,,-0.056436,,,
657.156,,-0.062727,,,
657.364,-0.071696,,,,
657.74,-0.06112,,,,
657.764,,-0.041575,,,
657.983,,-0.049339,,,
658.652,-0.054425,,,,
658.884,,-0.043848,,,
659.127,-0.048801,,,,
660.109,,-0.03394,,,
661.07,,-0.038088,,,
661.183,-0.041569,,,,
661.256,,,,,-0.033001
661.287,,-0.029386,,,
661.382,,,,-0.035009,
662.444,,-0.027376,,,
662.687,,-0.032329,,,
663.439,,,,-0.027642,
663.514,-0.03554,,,,
663.7,-0.030453,,,,
664.187,-0.023491,,,,
665.185,,-0.023355,,,
665.75,,,,,-0.02389
666.758,,-0.022683,,,
667.412,0.020558,,,,
667.748,,,,-0.023485,
668.115,,0.019488,,,
668.497,,-0.019199,,,
668.5,-0.018798,,,,
668.659,0.01641,,,,
668.978,,0.020427,,,
669.052,,0.012395,,,
669.246,0.001819,,,,
669.48,,-0.004204,,,
669.567,,-0.01063,,,
669.821,,0.002356,,,
669.871,,0.008246,,,
669.882,0.009585,,,,
670.072,,0.015074,,,
670.142,,0.00664,,,
670.176,,-0.006077,,,
670.265,,-0.012369,,,
670.49,,-0.01933,,,
670.501,,-0.001391,,,
670.617,-0.00447,,,,
670.645,,,,,-0.017857
670.973,-0.012769,,,,
671.659,,,,-0.015847,
672.103,,,,,0.019361
672.243,,,,0.019094,
672.548,,,,,-0.011829
672.915,,,,,0.014409
673.016,,,,0.00959,
673.885,,,,-0.005401,
674.159,,,,,0.009994
674.24,,,,,0.002765
674.313,,,,,-0.005401
674.796,,,,0.00116,
